time,open,high,low,close,volume,symbol
1776038400000,1.0735,1.0742,1.0728,1.0739,123456,EURUSD
1776124800000,1.0739,1.0751,1.0735,1.0748,130987,EURUSD
1776211200000,1.0748,1.0763,1.0745,1.0759,142560,EURUSD
1776297600000,1.0759,1.0770,1.0752,1.0764,128743,EURUSD
1776384000000,1.0764,1.0775,1.0758,1.0770,135890,EURUSD
1776470400000,1.0770,1.0781,1.0765,1.0778,145123,EURUSD
1776556800000,1.0778,1.0790,1.0775,1.0782,138670,EURUSD
1776643200000,1.0782,1.0795,1.0778,1.0788,142315,EURUSD
1776729600000,1.0788,1.0800,1.0785,1.0792,136890,EURUSD
1776816000000,1.0792,1.0805,1.0789,1.0798,141234,EURUSD
1776902400000,1.0798,1.0810,1.0795,1.0804,148567,EURUSD
1776988800000,1.0804,1.0812,1.0800,1.0808,139870,EURUSD
1777075200000,1.0808,1.0815,1.0804,1.0811,134521,EURUSD
1777161600000,1.0811,1.0820,1.0808,1.0818,143980,EURUSD
1777248000000,1.0818,1.0825,1.0815,1.0822,137456,EURUSD
1777334400000,1.0822,1.0830,1.0818,1.0828,141890,EURUSD
1777420800000,1.0828,1.0838,1.0825,1.0835,145670,EURUSD
1777507200000,1.0835,1.0842,1.0832,1.0839,138901,EURUSD
1777593600000,1.0839,1.0850,1.0838,1.0847,142340,EURUSD
1777680000000,1.0847,1.0858,1.0844,1.0852,139780,EURUSD
