Time,Open,High,Low,Close,,,,,,,,
1766275200000000,88360.91,88392.54,88360.9,88381.22,,,,,,,,
1766275260000000,88381.21,88381.22,88368.85,88368.86,,,,,,,,
1766275320000000,88368.85,88368.86,88368.85,88368.86,,,,,,,,
1766275380000000,88368.86,88380,88368.85,88379.99,,,,,,,,
1766275440000000,88380,88380,88340,88340,,,,,,,,
1766275500000000,88340,88340.01,88340,88340.01,,,,,,,,
1766275560000000,88340.01,88340.01,88323.49,88340.01,,,,,,,,
1766275620000000,88340,88340.01,88331.17,88331.17,,,,,,,,
1766275680000000,88331.17,88331.17,88306,88306.01,,,,,,,,
1766275740000000,88306,88312.2,88306,88312.19,,,,,,,,
1766275800000000,88312.19,88312.2,88307.75,88307.75,,,,,,,,
1766275860000000,88307.76,88307.76,88307.75,88307.75,,,,,,,,
1766275920000000,88307.76,88326.49,88307.75,88326.48,,,,,,,,
1766275980000000,88326.49,88326.49,88326.48,88326.49,,,,,,,,
1766276040000000,88326.49,88326.49,88326.48,88326.49,,,,,,,,
1766276100000000,88326.49,88339.73,88326.48,88339.73,,,,,,,,
1766276160000000,88339.73,88339.73,88339.72,88339.72,,,,,,,,
1766276220000000,88339.73,88339.73,88329.8,88329.81,,,,,,,,
1766276280000000,88329.81,88350,88329.8,88350,,,,,,,,
1766276340000000,88349.99,88355.85,88349.99,88355.85,,,,,,,,
1766276400000000,88355.85,88355.85,88355.84,88355.84,,,,,,,,
1766276460000000,88355.84,88410,88355.84,88409.99,,,,,,,,
1766276520000000,88409.99,88416,88409.99,88415.99,,,,,,,,
1766276580000000,88416,88416,88414.71,88414.71,,,,,,,,
1766276640000000,88414.72,88414.72,88414.71,88414.71,,,,,,,,
1766276700000000,88414.71,88414.72,88414.71,88414.71,,,,,,,,
1766276760000000,88414.72,88414.73,88414.71,88414.73,,,,,,,,
1766276820000000,88414.72,88414.73,88414.72,88414.73,,,,,,,,
1766276880000000,88414.72,88414.73,88414.72,88414.72,,,,,,,,
1766276940000000,88414.73,88414.73,88414.72,88414.72,,,,,,,,
1766277000000000,88414.73,88433.64,88414.72,88433.63,,,,,,,,
1766277060000000,88433.63,88433.64,88433.63,88433.63,,,,,,,,
1766277120000000,88433.63,88433.64,88380.91,88380.92,,,,,,,,
1766277180000000,88380.92,88380.92,88380.91,88380.91,,,,,,,,
1766277240000000,88380.91,88380.92,88380.91,88380.92,,,,,,,,
1766277300000000,88380.92,88380.92,88354,88354.01,,,,,,,,
1766277360000000,88354,88366.43,88354,88366.42,,,,,,,,
1766277420000000,88366.43,88366.43,88357.59,88357.59,,,,,,,,
1766277480000000,88357.6,88357.6,88310.69,88310.7,,,,,,,,
1766277540000000,88310.69,88324.39,88306.72,88324.39,,,,,,,,
1766277600000000,88324.38,88324.39,88324.38,88324.39,,,,,,,,
1766277660000000,88324.38,88324.39,88324.38,88324.38,,,,,,,,
1766277720000000,88324.38,88324.38,88314.93,88314.94,,,,,,,,
1766277780000000,88314.93,88336.81,88314.93,88336.81,,,,,,,,
1766277840000000,88336.8,88336.81,88336.8,88336.8,,,,,,,,
1766277900000000,88336.8,88340,88336.8,88340,,,,,,,,
1766277960000000,88339.99,88340,88333.61,88333.61,,,,,,,,
1766278020000000,88333.61,88333.62,88325.16,88325.16,,,,,,,,
1766278080000000,88325.16,88334,88325.16,88333.99,,,,,,,,
1766278140000000,88334,88334,88333.99,88334,,,,,,,,
1766278200000000,88334,88334,88333.99,88334,,,,,,,,
1766278260000000,88333.99,88352.16,88333.99,88342.92,,,,,,,,
1766278320000000,88342.92,88342.93,88342.92,88342.93,,,,,,,,
1766278380000000,88342.93,88342.93,88342.92,88342.92,,,,,,,,
1766278440000000,88342.92,88342.93,88342,88342.01,,,,,,,,
1766278500000000,88342,88342.01,88342,88342.01,,,,,,,,
1766278560000000,88342,88342.01,88342,88342.01,,,,,,,,
1766278620000000,88342,88342.01,88342,88342,,,,,,,,
1766278680000000,88342.01,88358.83,88342,88358.83,,,,,,,,
1766278740000000,88358.83,88387.93,88358.82,88387.92,,,,,,,,
